campo,valor,valor_en
telefono,+526864784662,
telefono_mostrar,(686) 478 4662,
whatsapp,526864784662,
direccion,"Calz. Rotario Internacional 3661, Local 12, 21395 Mexicali, B.C., México",
instagram,@dentissimo.mx,
facebook,https://www.facebook.com/dentissimo.mx,
link_resenas_google,https://www.google.com/maps/search/Dentissimo+Clínica+Dental+Mexicali,
rating,4.9,
num_resenas,120,
horario_semana,10:00–14:00 y 16:00–20:00,10:00 AM – 2:00 PM & 4:00 PM – 8:00 PM
horario_sabado,9:00–15:00,9:00 AM – 3:00 PM
horario_domingo,Cerrado,Closed
